tweet_id,created_at,username,user_name,user_followers,text,likes,retweets,replies,views,url,is_reply,in_reply_to
1998473034496356563,Tue Dec 09 19:21:15 +0000 2025,mikevideo21,Watson,623,@SEGIAGUA @ClaraBrugadaM @GobCDMX @SEDEMA_CDMX @SEP_mx @GobiernoMX @Claudiashein @REPORTINQUIETO @EvidenciaCdMx @ReporterosMX_ @craviotocesar @GPMorenaCdMex @alikael18 @DGlzvilla @LuciaSR56 @RocksterZu @magope5292 @CSenala @ManuelChap79266 @CiudActivos @ndurancoronado @Por_Coyoacan @mit_alexa @AlmaSaucedo18 @guilbert_ga @chiochaira @Comitecdjardin @CoyoacanU @coyoacanensesi2 @CopAComunitaria @UnidosCoyoacan @martinezfroy5 @garciabr1973 @AntonovPez @DanyBarraganG @josegon52991235 @maurolocardenas @jantonioruizh @Rafaherrera1983 @HectorFloresRa4 @joecorvette67 @AleFerruzcaL @rocioss 🙏 @ArtemisM63 por #Repost #CORRUPCION  @SEGIAGUA de José MarioEsparza vea la d su gente JoséL. SaunoSalas @GobCDMX @ClaraBrugadaM hipocresía pedir ahorrar #Agua @SEDEMA_CDMX art. 8 Respondan investigación  OficioNo.SCG/OICSEDEMA/UI/1409/2024  @GobiernoMX @Claudiashein https://t.co/vy0xqWRZh4,7,10,1,166,https://x.com/mikevideo21/status/1998473034496356563,True,mikevideo21
1998464795289288989,Tue Dec 09 18:48:31 +0000 2025,pajiva,pajiva,29,@SEGIAGUA @ALaMagdalenaC @ClaraBrugadaM @Fer_MercadoG No hay agua en calle membrillo el Tanque . La Magdalena Contreras. Escuelas en la zona Favor de checar. Gracias,0,0,1,74,https://x.com/pajiva/status/1998464795289288989,False,SEGIAGUA
1998463468027129976,Tue Dec 09 18:43:15 +0000 2025,mikevideo21,Watson,623,@SEGIAGUA @ClaraBrugadaM @GobCDMX @SEDEMA_CDMX @SEP_mx @GobiernoMX @Claudiashein @REPORTINQUIETO @EvidenciaCdMx @ReporterosMX_ @craviotocesar @GPMorenaCdMex @alikael18 @DGlzvilla @LuciaSR56 @RocksterZu @magope5292 @CSenala @ManuelChap79266 @CiudActivos @ndurancoronado @Por_Coyoacan @mit_alexa @AlmaSaucedo18 @guilbert_ga @chiochaira @Comitecdjardin @CoyoacanU @coyoacanensesi2 @CopAComunitaria @UnidosCoyoacan @martinezfroy5 @garciabr1973 @AntonovPez @DanyBarraganG @josegon52991235 @maurolocardenas @jantonioruizh @Rafaherrera1983 @HectorFloresRa4 @joecorvette67 @AleFerruzcaL @rocioss 🙏 @DGlzvilla por tu apoyo #Repost José MarioEsparza vea la #CORRUPCION d su gente @SEGIAGUA JoséL.SaunoSalas @GobCDMX @ClaraBrugadaM @SEDEMA_CDMX por el art. 8 Respondan investigación  OficioNo.SCG/OICSEDEMA/UI/1409/2024 @GobiernoMX @Claudiashein ley de #Agua ? https://t.co/VEhSY926qb,5,6,0,100,https://x.com/mikevideo21/status/1998463468027129976,True,mikevideo21
1998459007543976198,Tue Dec 09 18:25:31 +0000 2025,CesarBntz,Cesar Benitez A,167,"Llevamos 2 dias sin que caiga nada de agua por falfa de presión en la zona de Narciso Mendoza Villa coapa , CDMX Urge su ayuda @SEGIAGUA",0,0,1,143,https://x.com/CesarBntz/status/1998459007543976198,False,
1998424564465070313,Tue Dec 09 16:08:39 +0000 2025,GabrielGarcaSu1,Gabriel García Suárez,14,@SEGIAGUA solicito reparar fuga de agua en guarnición de banqueta frente al 517 de Ciprés col. Arenal 02890 @AzcapotzalcoMx entre circuito y Abasolo frente al herrero https://t.co/2jwhw5gU9P,1,1,1,34,https://x.com/GabrielGarcaSu1/status/1998424564465070313,False,SEGIAGUA
1998424347791491450,Tue Dec 09 16:07:48 +0000 2025,tuciudadanom,jake0015,23,@SEGIAGUA @locatel_mx @Alc_Iztapalapa @SOBSECDMX esta brotando agua del suelo a la altura de la banqueta en área marcada en la imagen -  av rojo Gómez casi esquina con calzada ermita Alcaldia iztapalapa   https://t.co/KfLFF7uVdN https://t.co/Wkjwyb6qvt,0,0,2,155,https://x.com/tuciudadanom/status/1998424347791491450,False,SEGIAGUA
1998416838506729521,Tue Dec 09 15:37:57 +0000 2025,cococo13,La Señora Dinamita,1031,Otro dia más en que miles de litros de agua potable se va al drenaje. Esto lo hicieron los de @SEGIAGUA y no vienen a arreglarlo. ¡URGE acción! ¿Cuándo van a ir? @ClaraBrugadaM @UCS_GCDMX @warkentin,0,0,1,47,https://x.com/cococo13/status/1998416838506729521,False,
1998416440412737897,Tue Dec 09 15:36:22 +0000 2025,cococo13,La Señora Dinamita,1031,@SEGIAGUA @ClaraBrugadaM @UCS_GCDMX ¡No sean así!  ¡Arreglen la fuga ya! No puedo creer que les valga ma d res. Hagan su trabajo señores. Otro dia mas de agua desperdiciada drenaje.,0,0,0,35,https://x.com/cococo13/status/1998416440412737897,False,SEGIAGUA
1998416349799100673,Tue Dec 09 15:36:01 +0000 2025,nay_giomtz,NayGioMtz,108,"De nuevo Problemas con el suministro de agua, en la Nápoles tenemos más de una semana con escasez de agua @SEGIAGUA @AlcBenitoJuarez @LuisMendozaBJ",0,0,0,54,https://x.com/nay_giomtz/status/1998416349799100673,False,
1998414369210982600,Tue Dec 09 15:28:09 +0000 2025,YeimiColin,Ycolin,11,"Necesito orientación de cualquier institución, organización o persona. De entre 3 a 6 meses de cada año, reporto la falta de agua en la Unidad Habitacional Infonavit Cuemanco, 34 edificios con 680 familias carecemos de agua y ya no sé a quién acercarme o qué denunciar @SEGIAGUA",0,0,0,78,https://x.com/YeimiColin/status/1998414369210982600,False,
